Region,UBR Level 8 Name,UBR Level 9 Name,Portfolio Name,Trader Book Name,trade_id,status
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01001,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01002,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01003,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01004,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01005,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01006,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01007,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01008,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01009,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01010,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01011,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01012,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01013,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01014,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01015,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01016,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01017,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01018,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01019,errored
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01020,errored
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02001,not_arrived
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02002,not_arrived
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02003,not_arrived
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02004,not_arrived
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02005,not_arrived
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02006,not_arrived
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02007,not_arrived
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02008,not_arrived
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02009,not_arrived
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02010,not_arrived
